"timestamp","source","elapsedMs","message","urlapi"
"2019-10-18T02:06:06.434Z","DTSieuRe86","118","GetAllManufacturerByCategory-""http://172.16.2.26/api/v2/webapi/apiproduct/getactivemanubycategoryid?categoryID=42&siteID=12&langID=vi-VN""-118","http://172.16.2.26/api/v2/webapi/apiproduct/getactivemanubycategoryid?categoryID=42&siteID=12&langID=vi-VN"
"2019-10-18T02:06:06.540Z","DTSieuRe86","82","GetListProductPropertyByCategory-""http://172.16.2.26/api/v2/webapi/apicategory/getproductpropbycategory?categoryID=42&siteID=12&langID=vi-VN""-82","http://172.16.2.26/api/v2/webapi/apicategory/getproductpropbycategory?categoryID=42&siteID=12&langID=vi-VN"
"2019-10-18T02:04:59.752Z","DTSieuRe86","1634","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 2235, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 0, PageSize: 300, PriceFrom: 0, PriceTo: 0, PropSearch: [PropSearch { CompareValue: 140890, Operator: ""SMALLER"", PropertyId: 19878 }], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-1634-""Transfer-Encoding=chunked","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:03:28.721Z","DTSieuRe87","1115","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 2, PageSize: 10, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-1115-""Transfer-Encoding=chunked Connection=keep-alive timer-all=694ms timer-names=54ms code-server=mise-produc","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:04:36.164Z","DTSieuRe87","957","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 4, PageSize: 10, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-957-""Transfer-Encoding=chunked Connection=keep-alive timer-all=496ms timer-names=79ms code-server=mise-product","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:05:25.132Z","DTSieuRe87","127","GetStoreInStock2016-""http://172.16.2.26/api/v2/webapi/apiproduct/searchstorebyproductcode?productCode=0160012000215&brandID=10&provinceID=3&districtID=0""-127","http://172.16.2.26/api/v2/webapi/apiproduct/searchstorebyproductcode?productCode=0160012000215&brandID=10&provinceID=3&districtID=0"
"2019-10-18T02:05:26.587Z","DTSieuRe87","40","GetProductSlide-""http://172.16.2.26/api/v2/webapi/apiproduct/getproductslider?productID=174748&siteID=3&langID=vi-VN""-40","http://172.16.2.26/api/v2/webapi/apiproduct/getproductslider?productID=174748&siteID=3&langID=vi-VN"
"2019-10-18T02:05:53.853Z","DTSieuRe87","103","GetStoreInStock2016-""http://172.16.2.26/api/v2/webapi/apiproduct/searchstorebyproductcode?productCode=0131491001523&brandID=10&provinceID=3&districtID=0""-103","http://172.16.2.26/api/v2/webapi/apiproduct/searchstorebyproductcode?productCode=0131491001523&brandID=10&provinceID=3&districtID=0"
"2019-10-18T02:04:16.467Z","DTSieuRe87","48","GetProductSlide-""http://172.16.2.26/api/v2/webapi/apiproduct/getproductslider?productID=204423&siteID=3&langID=vi-VN""-48","http://172.16.2.26/api/v2/webapi/apiproduct/getproductslider?productID=204423&siteID=3&langID=vi-VN"
"2019-10-18T02:05:24.751Z","DTSieuRe87","103","GetProductDetailById-""http://172.16.2.26/api/v2/webapi/apiproduct/getproduct?productID=174748&siteID=12&lang=vi-VN""-103","http://172.16.2.26/api/v2/webapi/apiproduct/getproduct?productID=174748&siteID=12&lang=vi-VN"
"2019-10-18T02:04:15.733Z","DTSieuRe87","90","GetProductDetailById-""http://172.16.2.26/api/v2/webapi/apiproduct/getproduct?productID=204423&siteID=12&lang=vi-VN""-90","http://172.16.2.26/api/v2/webapi/apiproduct/getproduct?productID=204423&siteID=12&lang=vi-VN"
